Date,Price,Open,High,Low,Volume,Change(%)
25 Jan 2022,218.85,213.5,220.2,211.95,20541777,2.27%
24 Jan 2022,214,216.4,217.75,211.5,9637642,-0.51%
21 Jan 2022,215.1,213.9,219.25,213,22132195,0.21%
20 Jan 2022,214.65,207.1,215.35,205.4,22627758,4.89%
19 Jan 2022,204.65,206,207.4,201.05,10293276,-0.24%
18 Jan 2022,205.15,206.25,207.85,204.6,6356567,-0.58%
17 Jan 2022,206.35,209.15,209.55,205.8,5680905,-0.67%
14 Jan 2022,207.75,207.95,209.65,206.55,10637741,-0.12%
13 Jan 2022,208,207.6,211.5,206.55,15392106,1.49%
12 Jan 2022,204.95,206,206.7,204.35,8263605,0.54%
11 Jan 2022,203.85,204.55,205.8,203.5,5406592,-0.07%
10 Jan 2022,204,207.25,207.25,203.45,8314283,-0.58%
07 Jan 2022,205.2,206.95,208.5,204.5,8931187,-0.36%
06 Jan 2022,205.95,207.75,208.7,204.65,4211949,-1.29%
05 Jan 2022,208.65,210,211.35,208.05,7173831,-0.93%
04 Jan 2022,210.6,206.3,213,205.5,11088068,2.73%
03 Jan 2022,205,205.4,206.95,204.15,5557541,0.29%
31 Dec 2021,204.4,204,206.2,203.55,7381668,-0.46%
30 Dec 2021,205.35,204.6,211.4,201.65,65610905,0.37%
29 Dec 2021,204.6,203,205.9,202.7,12879708,-0.49%
28 Dec 2021,205.6,206.65,208.65,203.3,11802155,-0.24%
27 Dec 2021,206.1,205.4,207.25,205,6486141,0.34%
24 Dec 2021,205.4,208.2,208.7,204.85,6731977,-1.42%
23 Dec 2021,208.35,202.5,209.6,202.05,11949367,3.37%
22 Dec 2021,201.55,199.8,203,198,11062674,-2.44%
21 Dec 2021,206.6,211.45,211.75,204.8,13174884,-1.55%
20 Dec 2021,209.85,210.75,212.65,207.5,16904435,-0.05%
17 Dec 2021,209.95,208.2,210.5,205.05,11407061,0.84%
16 Dec 2021,208.2,211.4,211.8,206.3,10058053,-0.79%
15 Dec 2021,209.85,213.1,215.65,207.8,11405480,-1.13%
14 Dec 2021,212.25,204.1,213.15,203.2,36031527,3.84%
13 Dec 2021,204.4,205.5,209.65,203.7,16236095,0.86%
10 Dec 2021,202.65,204.25,204.25,201.85,4623302,-0.27%
09 Dec 2021,203.2,205.5,206.45,202.1,4316567,-0.78%
08 Dec 2021,204.8,205.15,207.65,203.55,6591337,-0.49%
07 Dec 2021,205.8,202.6,206.95,202.15,6036827,1.88%
06 Dec 2021,202,207.35,208,201.35,8491835,-1.99%
03 Dec 2021,206.1,213.15,216.45,205.5,35710637,-3.92%
02 Dec 2021,214.5,209,216,206.5,25319133,3.52%
01 Dec 2021,207.2,207,208.75,204.7,15249613,0.22%
