Date,Price,Open,High,Low,Volume,Change(%)
10 Feb 2021,2767.1,2745.95,2780,2739.2,5602915,0.73%
09 Feb 2021,2747.05,2760,2784,2710.45,5586584,0.50%
08 Feb 2021,2733.35,2765,2765,2711.1,3807824,0.44%
05 Feb 2021,2721.5,2724.5,2767.8,2696.2,4575345,0.51%
04 Feb 2021,2707.75,2740.4,2742,2659,4108174,0.16%
03 Feb 2021,2703.55,2695,2734.5,2618,4782433,1.68%
02 Feb 2021,2659,2625,2762.95,2612,9253486,3.09%
01 Feb 2021,2579.25,2402.7,2602.1,2391.85,7106502,8.47%
29 Jan 2021,2377.8,2450,2460,2364.6,7347695,-1.98%
28 Jan 2021,2425.75,2430.1,2454,2395.25,5282970,-1.67%
27 Jan 2021,2467,2546.3,2546.3,2458.25,4858346,-3.31%
25 Jan 2021,2551.4,2630.45,2670,2543,7761405,-1.47%
22 Jan 2021,2589.45,2669,2678.75,2583.05,5013872,-2.76%
21 Jan 2021,2663,2687.95,2698,2641.25,3200138,-0.94%
20 Jan 2021,2688.15,2666,2711.9,2622.6,5771114,1.17%
19 Jan 2021,2656.95,2585,2680.8,2575,3569359,3.52%
18 Jan 2021,2566.5,2645.95,2647.4,2550,5154593,-2.52%
15 Jan 2021,2632.75,2661,2688.45,2615.6,2582955,-1.91%
14 Jan 2021,2684.05,2670,2699,2647.15,4253567,0.49%
13 Jan 2021,2670.9,2760.45,2777.15,2651.1,5582165,-2.79%
12 Jan 2021,2747.55,2738,2760,2719,3412213,-0.13%
11 Jan 2021,2751.2,2680,2762,2666.75,5939812,3.53%
08 Jan 2021,2657.5,2668,2674.4,2631,4497042,-0.14%
07 Jan 2021,2661.35,2670,2709.35,2647.4,4106042,0.85%
06 Jan 2021,2638.85,2664.7,2665,2619,3401085,-0.49%
05 Jan 2021,2651.85,2589,2659.45,2572.4,5870743,2.84%
04 Jan 2021,2578.5,2576.9,2592.35,2533.15,2795972,0.38%
01 Jan 2021,2568.75,2549,2593.3,2541.15,2054108,0.39%
31 Dec 2020,2558.65,2518.7,2575,2504.4,4956399,1.61%
30 Dec 2020,2518.05,2518.95,2525,2483,2902423,-0.04%
29 Dec 2020,2518.95,2480,2530,2480,4490464,1.72%
28 Dec 2020,2476.45,2467,2485,2436.6,2085391,0.87%
24 Dec 2020,2455.15,2417,2464.65,2411.05,2723426,2.17%
23 Dec 2020,2403.05,2398,2419.65,2376.75,2605828,-0.02%
22 Dec 2020,2403.65,2415,2439.9,2360.5,4832004,-0.46%
21 Dec 2020,2414.8,2468,2478.95,2370.45,3573982,-2.61%
18 Dec 2020,2479.4,2482,2489,2431,4189517,-0.61%
17 Dec 2020,2494.6,2434.9,2509,2420.15,7379515,2.88%
16 Dec 2020,2424.65,2377.95,2443.4,2365.5,6532346,3.16%
15 Dec 2020,2350.35,2290.5,2357.4,2282.7,5056502,2.07%
14 Dec 2020,2302.65,2306.7,2315.65,2270.55,3160235,0.29%
11 Dec 2020,2295.9,2307,2317.7,2272,4577813,0.30%
10 Dec 2020,2289.1,2300,2303,2267,2545081,-0.76%
