Date,Price,Open,High,Low,Volume,Change(%)
25 Oct 2012,4687.95,4734,4734,4652.35,10159,0.39%
23 Oct 2012,4669.6,4758,4770.05,4660,32247,-2.03%
22 Oct 2012,4766.3,4768.8,4794,4663.3,5131,-0.05%
19 Oct 2012,4768.8,4700,4785.95,4700,42975,0.58%
18 Oct 2012,4741.25,4760,4784.5,4728.95,8098,-0.40%
17 Oct 2012,4760.25,4765.6,4800,4740,4920,-0.11%
16 Oct 2012,4765.6,4699.9,4799,4699.85,21940,1.49%
15 Oct 2012,4695.6,4675,4720,4649.95,24248,0.33%
12 Oct 2012,4680.25,4560,4695,4526.3,23494,0.73%
11 Oct 2012,4646.15,4655,5429,4616.15,25306,0.12%
10 Oct 2012,4640.4,4626,4674,4600,11007,0.21%
09 Oct 2012,4630.5,4633.95,4670,4605,29262,0.62%
08 Oct 2012,4602.15,4600,4615,4505,61737,0.06%
05 Oct 2012,4599.5,4586,4610,4580.1,55826,0.29%
04 Oct 2012,4586.05,4542,4600,4490,40826,0.62%
03 Oct 2012,4557.9,4435.55,4570,4372.9,35246,2.76%
01 Oct 2012,4435.55,4438.8,4450,4407.5,20435,0.76%
28 Sep 2012,4401.95,4314,4433,4308,41764,1.79%
27 Sep 2012,4324.4,4378.85,4378.85,4300,39145,-0.46%
26 Sep 2012,4344.2,4335,4389,4335,11830,-0.15%
25 Sep 2012,4350.6,4344,4374,4320,8835,-0.04%
24 Sep 2012,4352.25,4370.05,4390,4325,12189,-0.04%
21 Sep 2012,4354.1,4388.8,4394.95,4348,35233,-0.14%
20 Sep 2012,4360.25,4400,4428.9,4351,32753,-0.92%
18 Sep 2012,4400.8,4436,4465,4400,22475,-1.37%
17 Sep 2012,4461.9,4489.4,4529.95,4443,72209,-0.61%
14 Sep 2012,4489.4,4555,4614.95,4467,26678,-1.01%
13 Sep 2012,4535.3,4634.9,4634.9,4500,9241,-0.85%
12 Sep 2012,4574.35,4558.95,4605.8,4519.95,9928,1.22%
11 Sep 2012,4519.35,4646.7,4646.7,4501,11481,-1.53%
10 Sep 2012,4589.7,4621,4640,4580,14107,-1.38%
08 Sep 2012,4654.15,4600.55,4669.9,4600.55,1729,1.12%
07 Sep 2012,4602.8,4676.8,4676.8,4575,119460,-0.02%
06 Sep 2012,4603.85,4550.05,4640,4550.05,31120,0.10%
05 Sep 2012,4599.25,4621,4635,4580,24993,-0.49%
04 Sep 2012,4621.9,4648,4678.95,4595,11094,0.62%
03 Sep 2012,4593.25,4600,4648.95,4584.95,23415,-0.91%
31 Aug 2012,4635.3,4669.65,4704,4610,54236,-0.74%
30 Aug 2012,4669.65,4696.75,4706.75,4610.1,11821,-0.67%
29 Aug 2012,4701.05,4714.95,4719,4648,10568,-0.44%
28 Aug 2012,4721.95,4753.75,4753.75,4644,12895,-0.23%
